id,user_id,title,description,items,design_settings,is_template,allow_fork,supported_languages,tags,like_count,created_at,updated_at,is_profile_public
02b1323f-ceeb-46b8-abac-a48474a168e7,8e258865-4c59-4bac-a98b-44de8a2ff5c7,グループ分けルーレット,"{""en"":""ディスカッションや共同作業のグループをランダムに編成します。"",""es"":""ディスカッションや共同作業のグループをランダムに編成します。"",""fr"":""ディスカッションや共同作業のグループをランダムに編成します。"",""ja"":""ディスカッションや共同作業のグループをランダムに編成します。""}","[{""name"":""1班"",""color"":""#f6e05e"",""ratio"":1},{""name"":""2班"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""3班"",""color"":""#45B7D1"",""ratio"":1},{""name"":""4班"",""color"":""#96CEB4"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:34:19.419989+00,2025-09-22 10:34:19.419989+00,false
0aaac168-3d2a-4caf-94e5-f8402cb9ce04,8e258865-4c59-4bac-a98b-44de8a2ff5c7,アイスブレイクルーレット,"{""en"":""会議や研修の冒頭で使って、場の雰囲気を和ませましょう。"",""es"":""会議や研修の冒頭で使って、場の雰囲気を和ませましょう。"",""fr"":""会議や研修の冒頭で使って、場の雰囲気を和ませましょう。"",""ja"":""会議や研修の冒頭で使って、場の雰囲気を和ませましょう。""}","[{""name"":""最近ハマっていること"",""color"":""#f6e05e"",""ratio"":1},{""name"":""週末の過ごし方"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""子供の頃の夢"",""color"":""#45B7D1"",""ratio"":1},{""name"":""好きな食べ物"",""color"":""#96CEB4"",""ratio"":1},{""name"":""もしも1億円あったら？"",""color"":""#FFEAA7"",""ratio"":1},{""name"":""無人島に一つ持っていくなら？"",""color"":""#DDA0DD"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:36:17.707321+00,2025-09-22 10:36:17.707321+00,false
15f2f0fd-a491-4fc2-bcc8-fdaba89fdafa,8e258865-4c59-4bac-a98b-44de8a2ff5c7,今日のランチ,"{""en"":""ランチの場所に迷ったら、このルーレットを回してみましょう！"",""es"":""ランチの場所に迷ったら、このルーレットを回してみましょう！"",""fr"":""ランチの場所に迷ったら、このルーレットを回してみましょう！"",""ja"":""ランチの場所に迷ったら、このルーレットを回してみましょう！""}","[{""name"":""ラーメン"",""color"":""#f6e05e"",""ratio"":1},{""name"":""カレー"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""パスタ"",""color"":""#45B7D1"",""ratio"":1},{""name"":""定食"",""color"":""#96CEB4"",""ratio"":1},{""name"":""そば・うどん"",""color"":""#FFEAA7"",""ratio"":1},{""name"":""中華"",""color"":""#DDA0DD"",""ratio"":1},{""name"":""イタリアン"",""color"":""#FF6B6B"",""ratio"":1},{""name"":""ファストフード"",""color"":""#4ECDC4"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:32:34.681006+00,2025-09-22 10:32:34.681006+00,false
46fcf236-38be-4d13-beb0-536f93470674,2be770b2-6df3-46db-9a23-233834d76254,カラオケ曲ルーレット,,"[{""name"":""ディズニー"",""color"":""#f6e05e"",""ratio"":1},{""name"":""洋楽"",""color"":""#f97316"",""ratio"":1},{""name"":""KーPOP"",""color"":""#ec4899"",""ratio"":1},{""name"":""アイドル男性"",""color"":""#d946ef"",""ratio"":1},{""name"":""次の人にお題決めてもらう"",""color"":""#8b5cf6"",""ratio"":1},{""name"":""同郷（都道府県）"",""color"":""#6366f1"",""ratio"":1},{""name"":""男性ソロシンガー"",""color"":""#f6e05e"",""ratio"":1},{""name"":""女性ソロシンガー"",""color"":""#f97316"",""ratio"":1},{""name"":""２人組"",""color"":""#ec4899"",""ratio"":1},{""name"":""３人組"",""color"":""#d946ef"",""ratio"":1},{""name"":""男女混合ユニット"",""color"":""#8b5cf6"",""ratio"":1},{""name"":""男性バンド・グループ"",""color"":""#6366f1"",""ratio"":1},{""name"":""女性バンド・グループ"",""color"":""#f6e05e"",""ratio"":1},{""name"":""アイドル女性"",""color"":""#f97316"",""ratio"":1},{""name"":""俳優"",""color"":""#ec4899"",""ratio"":1},{""name"":""お笑い芸人・コミックソング"",""color"":""#d946ef"",""ratio"":1},{""name"":""沖縄の音楽"",""color"":""#6366f1"",""ratio"":1},{""name"":""音楽の授業(合唱コン)"",""color"":""#f6e05e"",""ratio"":1},{""name"":""ジブリ"",""color"":""#f97316"",""ratio"":1},{""name"":""映画"",""color"":""#ec4899"",""ratio"":1},{""name"":""ドラマ"",""color"":""#d946ef"",""ratio"":1},{""name"":""CM"",""color"":""#8b5cf6"",""ratio"":1},{""name"":""卒業・別れの歌"",""color"":""#6366f1"",""ratio"":1},{""name"":""クリスマスソング"",""color"":""#f6e05e"",""ratio"":1},{""name"":""春の歌"",""color"":""#f97316"",""ratio"":1},{""name"":""夏の歌"",""color"":""#ec4899"",""ratio"":1},{""name"":""秋の歌"",""color"":""#d946ef"",""ratio"":1},{""name"":""冬の歌"",""color"":""#8b5cf6"",""ratio"":1}]",,true,false,"[""ja""]",,0,2026-01-28 10:49:21.115488+00,2026-03-22 15:18:56.042+00,false
6e4c4843-5428-4448-b8c1-f8267217300c,8e258865-4c59-4bac-a98b-44de8a2ff5c7,罰ゲームルーレット,"{""en"":""ゲームに負けた人が回す、恐怖の罰ゲームルーレット。"",""es"":""ゲームに負けた人が回す、恐怖の罰ゲームルーレット。"",""fr"":""ゲームに負けた人が回す、恐怖の罰ゲームルーレット。"",""ja"":""ゲームに負けた人が回す、恐怖の罰ゲームルーレット。""}","[{""name"":""モノマネ"",""color"":""#f6e05e"",""ratio"":1},{""name"":""一発ギャグ"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""秘密を暴露"",""color"":""#45B7D1"",""ratio"":1},{""name"":""変顔で写真撮影"",""color"":""#96CEB4"",""ratio"":1},{""name"":""デコピン"",""color"":""#FFEAA7"",""ratio"":1},{""name"":""腕立て伏せ10回"",""color"":""#DDA0DD"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:38:00.675895+00,2025-09-22 10:38:00.675895+00,false
7858114f-7ee9-4879-853e-03be56564fef,8e258865-4c59-4bac-a98b-44de8a2ff5c7,王様ゲーム用ルーレット,"{""en"":""王様と番号がランダムに決まる！誰が王様で、誰が命令を受けるのか、毎回ドキドキ！"",""es"":""王様と番号がランダムに決まる！誰が王様で、誰が命令を受けるのか、毎回ドキドキ！"",""fr"":""王様と番号がランダムに決まる！誰が王様で、誰が命令を受けるのか、毎回ドキドキ！"",""ja"":""王様と番号がランダムに決まる！誰が王様で、誰が命令を受けるのか、毎回ドキドキ！""}","[{""name"":""王様"",""color"":""#f6e05e"",""ratio"":1},{""name"":""1番"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""2番"",""color"":""#45B7D1"",""ratio"":1},{""name"":""3番"",""color"":""#96CEB4"",""ratio"":1},{""name"":""4番"",""color"":""#FFEAA7"",""ratio"":1},{""name"":""5番"",""color"":""#DDA0DD"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:37:35.181343+00,2025-09-22 10:37:35.181343+00,false
7f781394-2fa8-4157-be18-5bb27989d32b,8e258865-4c59-4bac-a98b-44de8a2ff5c7,ランダム指名ルーレット,"{""en"":""授業中の発言者や発表者をランダムに選びたいときに使えます。公平性を保ち、生徒の集中力を高めます。"",""es"":""授業中の発言者や発表者をランダムに選びたいときに使えます。公平性を保ち、生徒の集中力を高めます。"",""fr"":""授業中の発言者や発表者をランダムに選びたいときに使えます。公平性を保ち、生徒の集中力を高めます。"",""ja"":""授業中の発言者や発表者をランダムに選びたいときに使えます。公平性を保ち、生徒の集中力を高めます。""}","[{""name"":""生徒1"",""color"":""#f6e05e"",""ratio"":1},{""name"":""生徒2"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""生徒3"",""color"":""#45B7D1"",""ratio"":1},{""name"":""生徒4"",""color"":""#96CEB4"",""ratio"":1},{""name"":""生徒5"",""color"":""#FFEAA7"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:34:07.427711+00,2025-09-22 10:34:07.427711+00,false
86a8fa9a-a9a9-4993-8755-e3b64f5a4500,8e258865-4c59-4bac-a98b-44de8a2ff5c7,抽選会ルーレット,"{""en"":""イベントやパーティーの抽選会を盛り上げるためのルーレットです。参加者の名前や番号を入れて使ってください。"",""es"":""イベントやパーティーの抽選会を盛り上げるためのルーレットです。参加者の名前や番号を入れて使ってください。"",""fr"":""イベントやパーティーの抽選会を盛り上げるためのルーレットです。参加者の名前や番号を入れて使ってください。"",""ja"":""イベントやパーティーの抽選会を盛り上げるためのルーレットです。参加者の名前や番号を入れて使ってください。""}","[{""name"":""参加者1"",""color"":""#f6e05e"",""ratio"":1},{""name"":""参加者2"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""参加者3"",""color"":""#45B7D1"",""ratio"":1},{""name"":""参加者4"",""color"":""#96CEB4"",""ratio"":1},{""name"":""参加者5"",""color"":""#FFEAA7"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:34:59.631239+00,2025-09-22 10:34:59.631239+00,false
8ad0bc81-7af5-4bef-9ab9-ccbcebdc3e64,8e258865-4c59-4bac-a98b-44de8a2ff5c7,今日の献立,"{""en"":""毎日の献立決めに困ったら、ルーレットに頼ってみましょう。"",""es"":""毎日の献立決めに困ったら、ルーレットに頼ってみましょう。"",""fr"":""毎日の献立決めに困ったら、ルーレットに頼ってみましょう。"",""ja"":""毎日の献立決めに困ったら、ルーレットに頼ってみましょう。""}","[{""name"":""肉料理"",""color"":""#f6e05e"",""ratio"":1},{""name"":""魚料理"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""麺類"",""color"":""#45B7D1"",""ratio"":1},{""name"":""丼もの"",""color"":""#96CEB4"",""ratio"":1},{""name"":""中華"",""color"":""#FFEAA7"",""ratio"":1},{""name"":""洋食"",""color"":""#DDA0DD"",""ratio"":1},{""name"":""和食"",""color"":""#FF6B6B"",""ratio"":1},{""name"":""サラダ"",""color"":""#4ECDC4"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:32:47.617796+00,2025-09-22 10:32:47.617796+00,false
97484601-c8c2-4542-8bab-39586f79313d,8e258865-4c59-4bac-a98b-44de8a2ff5c7,ランダムタスク割り当て,"{""en"":""議事録の作成や電話番など、日々のタスクを公平に割り当てます。"",""es"":""議事録の作成や電話番など、日々のタスクを公平に割り当てます。"",""fr"":""議事録の作成や電話番など、日々のタスクを公平に割り当てます。"",""ja"":""議事録の作成や電話番など、日々のタスクを公平に割り当てます。""}","[{""name"":""議事録作成"",""color"":""#f6e05e"",""ratio"":1},{""name"":""電話番"",""color"":""#4ECDC4"",""ratio"":1},{""name"":""コピー・印刷"",""color"":""#45B7D1"",""ratio"":1},{""name"":""備品補充"",""color"":""#96CEB4"",""ratio"":1},{""name"":""ゴミ捨て"",""color"":""#FFEAA7"",""ratio"":1}]",,true,true,"[""en"",""ja"",""fr"",""es""]","[""official""]",0,2025-09-22 10:36:37.485012+00,2025-09-22 10:36:37.485012+00,false
